충전소명,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도,PrivatePublic
창동역 환승주차장,2,1,Y,37.65436821,127.0491293,Public
창1동 공영주차장,1,0,Y,37.6471291,127.037189,Public
빅마켓 도봉점,0,2,N,37.66766494,127.0455596,Private
도봉구민회관,0,1,Y,37.65416709,127.0386044,Public
도봉구청,2,2,Y,37.66871667,127.0471334,Public
홈플러스 방학점,0,1,Y,37.6648183,127.0435994,Private
롯데하이마트 창동점,0,1,Y,37.65292217,127.052168,Private
현대자동차 북부서비스센터,0,1,Y,37.6633552,127.0441017,Private
기아 도봉서비스센터,1,1,N,37.68350229,127.050141,Private
창2동 제4공영주차장,0,1,Y,37.64142,127.036249,Public
창3동 제1공영주차장,0,1,Y,37.633306,127.04155,Public
쌍문3동 제2공영주차장,0,1,Y,37.649522,127.029375,Public
한일병원,0,1,Y,37.64668449,127.0290576,Public
쌍문2동 제3공영주차장,0,1,Y,37.661333,127.038654,Public
도봉산환승주차장,0,2,Y,37.69047896,127.0422447,Public
도봉기적의 도서관,0,1,Y,37.68080297,127.050169,Public
롯데 VIC마켓 도봉점,0,1,,,,Private
쌍문3동 제2공영주차장,0,1,,,,Public
서울시 도봉소방서,2,0,,,,Public
서울시 서울시설관리공단(창동),0,1,,,,Public
쌍문4동주민센터,0,1,,,,Public
창1동주민센터,0,1,,,,Public
창2동주민센터,0,1,,,,Public
창3동주민센터,0,1,,,,Public
한국전기안전공사 서울북부지사,1,0,,,,Public
방학1동주민센터,1,0,,,,Public
도봉주유소,0,2,,,,Private
(주)농협유통창동농산물종합,10,0,,,,Public
방학신동아4단지아파트,4,1,,,,Private
방학동부센트레빌,2,0,,,,Private
창동한신아파트,2,0,,,,Private
도봉투웨니퍼스트2단지오피스텔,2,0,,,,Private
대상타운현대아파트,2,1,,,,Private
도봉서원 아파트,0,2,,,,Private
도봉현대성우 아파트,1,1,,,,Private
동아에코빌 아파트,2,1,,,,Private
동아청솔아파트,3,2,,,,Private
방학극동 아파트,0,1,,,,Private
방학금광포란재,2,0,,,,Private
방학명품ESA2단지,2,0,,,,Private
방학우성1차 아파트,3,1,,,,Private
북한산코오롱하늘채 아파트,2,1,,,,Private
서울가든 아파트,2,1,,,,Private
쌍문미라보아파트,1,0,,,,Private
쌍문염광 아파트,2,0,,,,Private
쌍문한양6차 아파트,3,1,,,,Private
쌍문현대2차 아파트,1,0,,,,Private
창동2차현대아파트,2,1,,,,Private
창동3차현대아파트,2,0,,,,Private
창동대동 아파트,2,0,,,,Private
창동대우아파트,0,1,,,,Private
창동수산트리플 아파트,2,0,,,,Private
창동쌍용 아파트,0,1,,,,Private
창동주공18단지아파트,0,1,,,,Private
창동주공19단지,2,2,,,,Private
창동한승미메이드 아파트,1,1,,,,Private
효성하이타운,2,0,,,,Private
